id,name,country,city,lat,lon,categories,tags,avg_cost_per_day,ideal_months,popularity
63,Pangong,India,"Pangong Lake, Ladakh",34.005,78.2722,lake|scenic|mountain,pangong lake|photography,4200,Jun|Jul|Aug|Sep,4.8
64,Suryalanka,India,Bapatla,15.9125,80.3186,beach|relaxation|scenic,suryalanka beach,2300,Oct|Nov|Feb|Mar,4.0
65,Goa South,India,South Goa,15.2832,73.9867,beach|quiet|luxury,palolem|colva,4200,Nov|Dec|Jan|Feb,4.5
66,MadhyaPradesh Khajuraho,India,Khajuraho,24.8316,79.9196,temple|heritage|lightshow,khajuraho temples,2800,Oct|Nov|Feb|Mar,4.3
67,Orchha,India,Orchha,25.28,78.672,history|palace|heritage,Orchha fort|cenotaphs,2400,Oct|Nov|Feb|Mar,4.2
68,Sanchi,India,Sanchi,23.486,77.7397,buddhist|heritage|stupa,sanchi stupa|archaeology,2200,Oct|Nov|Feb|Mar,4.1
69,Pench,India,Pench,22.5926,79.2923,wildlife|safari|nature,pench national park|tigers,3800,Oct|Nov|Feb|Mar,4.5
70,Pattadakal,India,Pattadakal,15.8667,75.9917,heritage|temples|history,chalukya temples,2300,Oct|Nov|Feb|Mar,4.0
71,Gokul,India,Gokul,25.223,83.6256,religious|heritage|mythology,banke bihari|radha krishna,2100,Oct|Nov|Feb|Mar,4.0
72,Kumarakom,India,Kumarakom,9.585,76.4673,backwater|birdwatching|relax,bird sanctuary|houseboats,3400,Sep|Oct|Nov|Dec,4.6
73,Varkala,India,Varkala,8.7926,76.709,beach|cliff|relaxation,varkala cliff|beach,3000,Oct|Nov|Dec|Jan,4.5
74,Kovalam,India,Kovalam,8.4145,76.9784,beach|relax|ayurveda,lighthouse beach|ayurveda,2900,Oct|Nov|Dec|Jan,4.4
75,Mahabaleshwar,India,Mahabaleshwar,17.925,73.658,hill|strawberry|scenic,points|lakes,3000,Oct|Nov|Dec|Jan,4.3
76,Lonavala,India,Lonavala,18.755,73.4131,hill|waterfall|weekend,tiger's point|bhushi dam,2600,Jul|Aug|Sep|Oct,4.2
77,Lavasa,India,Lavasa,18.1625,73.4426,hill|plannedcity|weekend,lake|resorts,3200,Oct|Nov|Feb|Mar,3.9
78,Pavagadh,India,Pavagadh,22.4669,73.5908,pilgrimage|hill|heritage,champaner-pavagadh,2300,Oct|Nov|Feb|Mar,4.0
79,Sariska,India,Sariska,27.2705,76.4449,wildlife|safari|nature,sariska tiger reserve,3200,Oct|Nov|Feb|Mar,4.1
80,Bhadra,India,Bhadra,13.4094,75.7019,wildlife|sanctuary|nature,bhadra wildlife sanctuary,3000,Oct|Nov|Feb|Mar,4.0
81,Belur Halebid,India,Belur,13.1518,75.7916,heritage|temple|architecture,hoysala temples,2400,Oct|Nov|Feb|Mar,4.2
82,Panchgani,India,Panchgani,17.9235,73.861,hill|scenic|strawberry,viewpoints|paragliding,2800,Oct|Nov|Dec|Jan,4.1
83,Tirupati,India,Tirupati,13.6288,79.4192,pilgrimage|temple|devotion,Tirumala tirupati temple,2600,Nov|Dec|Jan|Feb,4.4
84,Kanchipuram,India,Kanchipuram,12.8342,79.7036,temple|silk|heritage,temples|silk sarees,2400,Oct|Nov|Feb|Mar,4.2
85,Havelock Island,India,Havelock,11.8745,92.957,beach|scuba|island,radhangar beach|scuba,5600,Nov|Dec|Jan|Feb,4.7
86,Chikmagalur,India,Chikmagalur,13.3189,75.774,coffee|hills|trek,mundgod|coffee estates,3000,Oct|Nov|Dec|Jan,4.4
87,Bandipur,India,Bandipur,11.6727,76.0839,wildlife|safari|nature,bandipur tiger reserve,3500,Oct|Nov|Feb|Mar,4.5
88,Yercaud,India,Yercaud,11.7934,78.249,hill|scenic|quiet,lakes|gardens,2600,Oct|Nov|Dec|Jan,4.0
89,Sultan Bathery,India,Sultan Bathery,11.7589,76.2796,heritage|tea|nature,edamalayar|monuments,2200,Oct|Nov|Dec|Jan,3.9
90,Badami,India,Badami,15.9185,75.7511,heritage|caves|history,badami cave temples,2300,Oct|Nov|Feb|Mar,4.1
91,Gulmarg Meadow,India,Gulmarg,34.0445,74.3768,skiing|meadows|adventure,gondola|skiing,3800,Dec|Jan|Feb|Mar,4.6
92,Mandawa,India,Mandawa,28.0595,75.1805,haveli|heritage|art,mandawa havelis|frescos,2400,Oct|Nov|Feb|Mar,4.0
93,Sakleshpur,India,Sakleshpur,12.8667,75.455,coffee|trek|green,green hills|trekking,2700,Oct|Nov|Dec|Jan,4.1
